date,open,high,close,low,vol,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2011-08-02,10.980,10.980,10.720,10.600,9946.02,-1.65,10.720,10.720,10.720,9946.02,9946.02,9946.02,0.86
2011-08-03,10.700,11.130,10.990,10.690,17528.97,2.52,10.855,10.855,10.855,13737.50,13737.50,13737.50,1.51
2011-08-04,10.910,11.220,11.050,10.770,14367.77,0.55,10.920,10.920,10.920,13947.59,13947.59,13947.59,1.24
2011-08-05,10.800,11.450,10.860,10.130,16193.30,-1.72,10.905,10.905,10.905,14509.02,14509.02,14509.02,1.39
2011-08-08,11.000,11.450,10.830,10.410,40068.54,-0.28,10.890,10.890,10.890,19620.92,19620.92,19620.92,3.45
2011-08-09,10.180,10.820,10.680,9.750,30049.27,-1.39,10.882,10.855,10.855,23641.57,21358.98,21358.98,2.59
2011-08-10,10.700,10.950,10.680,10.630,29746.61,0.00,10.820,10.830,10.830,26085.10,22557.21,22557.21,2.56
2011-08-11,10.490,10.810,10.700,10.120,16040.99,0.19,10.750,10.814,10.814,26419.74,21742.68,21742.68,1.38
2011-08-12,10.850,11.120,11.090,10.610,30665.20,3.65,10.796,10.844,10.844,29314.12,22734.07,22734.07,2.64
2011-08-15,11.100,12.200,12.200,11.000,81762.85,10.01,11.070,10.980,10.980,37652.98,28636.95,28636.95,7.04
2011-08-16,12.010,12.180,11.750,11.580,60788.07,-3.69,11.284,11.083,11.050,43800.74,33721.16,31559.78,5.24
2011-08-17,11.600,12.170,11.700,11.600,40882.10,-0.43,11.488,11.154,11.104,46027.84,36056.47,32336.64,3.52
2011-08-18,11.710,11.920,11.330,11.200,36032.05,-3.16,11.614,11.182,11.122,50026.05,38222.90,32620.90,3.10
2011-08-19,11.180,11.180,11.050,10.680,24924.89,-2.47,11.606,11.201,11.116,48877.99,39096.06,32071.19,2.15
2011-08-22,11.200,11.420,10.890,10.880,22402.51,-1.45,11.344,11.207,11.101,37005.92,37329.45,31426.61,1.93
2011-08-23,10.910,11.280,11.150,10.880,14734.65,2.39,11.224,11.254,11.104,27795.24,35797.99,30383.36,1.27
2011-08-24,11.280,11.330,11.210,11.080,12796.39,0.54,11.126,11.307,11.111,22178.10,34102.97,29348.83,1.10
2011-08-25,11.210,11.430,11.310,11.110,21927.15,0.89,11.122,11.368,11.122,19357.12,34691.59,28936.52,1.89
2011-08-26,11.210,11.240,11.170,11.000,25069.76,-1.24,11.146,11.376,11.124,19386.09,34132.04,28733.00,2.16
2011-08-29,11.080,11.360,11.210,11.030,16557.35,0.36,11.210,11.277,11.129,18217.06,27611.49,28124.22,1.43
2011-08-30,11.250,11.370,10.930,10.890,15091.52,-2.50,11.166,11.195,11.139,18288.43,23041.84,28381.50,1.30
2011-08-31,10.970,10.970,10.880,10.630,12607.32,-0.46,11.100,11.113,11.134,18250.62,20214.36,28135.41,1.09
2011-09-01,10.990,10.990,10.650,10.640,12306.10,-2.11,10.968,11.045,11.114,16326.41,17841.76,28032.33,1.06
